162cm,WOMEN,JP,http://i7.wimg.jp/coordinate/5ciq5a/20161129230431883/20161129230431883_500.jpg
152cm,WOMEN,JP,http://i7.wimg.jp/coordinate/1trtz6/20161129230011955/20161129230011955_500.jpg
155cm,WOMEN,JP,http://i7.wimg.jp/coordinate/8tk9ey/20161129230047816/20161129230047816_500.jpg
154cm,WOMEN,JP,http://i7.wimg.jp/coordinate/ucn5k7/20161129230048582/20161129230048582_500.jpg
160cm,WOMEN,JP,http://i7.wimg.jp/coordinate/drczpd/20161129230050647/20161129230050647_500.jpg
173cm,MEN,JP,http://i7.wimg.jp/coordinate/jygj89/20161129230055365/20161129230055365_500.jpg
170cm,WOMEN,JP,http://i7.wimg.jp/coordinate/fv3vcg/20161129230105865/20161129230105865_500.jpg
158cm,WOMEN,JP,http://i7.wimg.jp/coordinate/4b0ony/20161130081342685/20161130081342685_500.jpg
164cm,MEN,JP,http://i7.wimg.jp/coordinate/dmng68/20161129230147020/20161129230147020_500.jpg
162cm,WOMEN,JP,http://i7.wimg.jp/coordinate/vy22we/20161129230150743/20161129230150743_500.jpg
162cm,WOMEN,JP,http://i7.wimg.jp/coordinate/lx41zs/20161129230153984/20161129230153984_500.jpg
168cm,MEN,JP,http://i7.wimg.jp/coordinate/p70kzh/20161211225201842/20161211225201842_500.jpg
153cm,WOMEN,CN,http://i7.wimg.jp/coordinate/tp1ube/20161129230156458/20161129230156458_500.jpg
177cm,MEN,JP,http://i7.wimg.jp/coordinate/v3tfg2/20161129230204912/20161129230204912_500.jpg
178cm,MEN,JP,http://i7.wimg.jp/coordinate/i62mjo/20161129233022307/20161129233022307_500.jpg
163cm,WOMEN,JP,http://i7.wimg.jp/coordinate/qiqbb5/20161129230308586/20161129230308586_500.jpg
183cm,MEN,JP,http://i7.wimg.jp/coordinate/hgae5i/20161129230335547/20161129230335547_500.jpg
145cm,WOMEN,NZ,http://i7.wimg.jp/coordinate/42klic/20161129230338725/20161129230338725_500.jpg
182cm,MEN,JP,http://i7.wimg.jp/coordinate/uc1152/20161129230430019/20161129230430019_500.jpg
176cm,MEN,JP,http://i7.wimg.jp/coordinate/fr2jc8/20161129230501452/20161129230501452_500.jpg
155cm,WOMEN,JP,http://i7.wimg.jp/coordinate/5mzn20/20161129230506321/20161129230506321_500.jpg
